patch_id,image_name,x1,y1,x2,y2,D10,D50,D90,Span,A_gran,Skewness,sigma_local
321,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,256,0,384,128,0.5,3.8001107419712077,16.26119651017865,4.147562421300107,0.035971250130539305,1.0485852310574428,25.843218930275853
52,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,768,128,896,256,0.5,3.880843384100713,18.46284923231816,4.62859421380144,0.028657254560781015,1.0563885024149189,15.19558064388422
325,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,768,0,896,128,0.5,3.9061580567909697,18.028399397892617,4.487375867297275,0.031403420869625935,1.0046407039416096,20.94723984189881
34,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,512,640,640,768,0.5,4.042111550810125,16.07298891247937,3.8526865764895115,0.028665181557579363,1.0425740798935612,7.4439717871405575
310,070525-JPB-MEB-EIHNValves-Ech5-ZigZag0027.tif,128,512,256,640,0.5,4.061044126002147,17.23297676134267,4.120363197780684,0.02811136074339475,0.9515509857514363,11.393952325722346
320,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,128,0,256,128,0.5,4.1009398049012615,15.623577235772371,3.687832047107188,0.036814191703233,1.0953553305333046,22.72099685446289
30,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,768,512,896,640,0.5,4.157672002011229,19.183712923728812,4.493791938058309,0.029460943099826924,0.8773770623214633,13.13727952234968
326,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,896,0,1024,128,0.5,4.2188849627012175,17.08296474709877,3.930651082858924,0.031074529347325484,1.0047760666655372,22.97370995008955
328,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,1152,0,1280,128,0.5,4.232804011700794,17.444459350684202,4.003128730705324,0.034574458142412626,0.9749944819868055,12.79329005121831
259,060722-Nabila-JP-Valves-WholeMount-SAureus-pat04-2-15.tif,512,128,640,256,0.5,4.357216694663395,19.165819988956386,4.283886089901793,0.023939392386278915,0.878536927211168,28.054077923596907
394,310120-pat18-WholeMount-24.tif,0,384,128,512,0.5,4.425626456876456,17.281143153168713,3.791811920116865,0.04055429169950589,0.9362875507856706,16.201235058128397
